Name,Abbreviation,Price
Bitcoin,BTC,"$39,158.58"
Ethereum,ETH,"$2,595.55"
Tether,USDT,$1.00
BNB,BNB,$377.38
USD Coin,USDC,$1.00
XRP,XRP,$0.794171
Terra,LUNA,$89.84
Solana,SOL,$82.11
Cardano,ADA,$0.797675
Polkadot,DOT,$18.41
Avalanche,AVAX,$72.01
Binance USD,BUSD,$1.00
Dogecoin,DOGE,$0.116491
TerraUSD,UST,$1.01
Shiba Inu,SHIB,$0.000022415447
Wrapped Bitcoin,WBTC,"$39,123.27"
Cronos,CRO,$0.386666
Polygon,MATIC,$1.42
Dai,DAI,$1.00
Cosmos Hub,ATOM,$27.56
Litecoin,LTC,$105.20
Near,NEAR,$10.44
Chainlink,LINK,$13.25
TRON,TRX,$0.059945501453
Lido Staked Ether,STETH,"$2,593.51"
FTX Token,FTT,$41.25
Bitcoin Cash,BCH,$291.71
LEO Token,LEO,$5.84
Algorand,ALGO,$0.711071
OKB,OKB,$17.78
Stellar,XLM,$0.184757
Hedera,HBAR,$0.210181
Uniswap,UNI,$8.57
Ethereum Classic,ETC,$26.60
Decentraland,MANA,$2.34
Internet Computer,ICP,$16.41
Axie Infinity,AXS,$46.98
Monero,XMR,$183.23
Filecoin,FIL,$18.13
The Sandbox,SAND,$2.80
Elrond,EGLD,$142.70
VeChain,VET,$0.046872325992
Fantom,FTM,$1.22
cETH,CETH,$51.89
Osmosis,OSMO,$9.35
Klaytn,KLAY,$1.12
Frax,FRAX,$1.00
Theta Network,THETA,$2.85
Magic Internet Money,MIM,$0.996709
Waves,WAVES,$27.37
Tezos,XTZ,$3.06
cUSDC,CUSDC,$0.022534570723
ECOMI,OMI,$0.003866803687
Helium,HNT,$21.56
cDAI,CDAI,$0.021919820827
Flow,FLOW,$5.64
The Graph,GRT,$0.324395
IOTA,MIOTA,$0.712880
EOS,EOS,$1.99
Theta Fuel,TFUEL,$0.164128
THORChain,RUNE,$6.03
Zcash,ZEC,$146.03
JUNO,JUNO,$38.69
PancakeSwap,CAKE,$6.01
BitTorrent,BTT,$0.000001778097
Gala,GALA,$0.215847
Aave,AAVE,$119.24
Arweave,AR,$31.60
Maker,MKR,"$1,759.62"
Huobi BTC,HBTC,"$39,070.10"
Quant,QNT,$114.93
Harmony,ONE,$0.126264
Bitcoin SV,BSV,$78.46
TrueUSD,TUSD,$1.00
NEO,NEO,$20.21
Stacks,STX,$1.36
eCash,XEC,$0.000074742125
Huobi Token,HT,$8.92
KuCoin Token,KCS,$18.11
Celsius Network,CEL,$3.11
Humans.ai,HEART,$0.080320965123
Enjin Coin,ENJ,$1.34
Amp,AMP,$0.025048594430
NEXO,NEXO,$2.09
Radix,XRD,$0.118537
Kadena,KDA,$6.72
Kusama,KSM,$124.70
Chiliz,CHZ,$0.206619
Celo,CELO,$2.57
Dash,DASH,$98.28
Frax Share,FXS,$17.98
Basic Attention Token,BAT,$0.682291
GateToken,GT,$6.50
Pax Dollar,USDP,$0.997968
BitDAO,BIT,$1.09
Synthetix Network Token,SNX,$4.31
Convex Finance,CVX,$16.56
Loopring,LRC,$0.707588
Anchor Protocol,ANC,$3.26
NEM,XEM,$0.093788769234
